Year,State,Model,Response,Actual_Label,Gender,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
2014,CA,Gemma2B,Below,Below,Male,30.0,1.0,22.0,1.0,4850.0,515.0,0.0,40.0,1.0,1.0,1200.0
2014,CA,Gemma2B,Below,Below,Female,40.0,4.0,22.0,5.0,2200.0,6.0,2.0,10.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,44.0,4.0,22.0,1.0,2310.0,33.0,0.0,50.0,1.0,1.0,38400.0
2014,CA,Gemma2B,Below,Below,Male,62.0,6.0,21.0,1.0,430.0,36.0,0.0,60.0,1.0,1.0,5000.0
2014,CA,Gemma2B,Above,Below,Female,57.0,1.0,16.0,4.0,4020.0,212.0,0.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Below,Below,Male,54.0,1.0,15.0,5.0,5700.0,69.0,11.0,40.0,1.0,7.0,
2014,CA,Gemma2B,Below,Below,Male,42.0,6.0,21.0,5.0,2700.0,6.0,0.0,40.0,1.0,6.0,
2014,CA,Gemma2B,Below,Above,Female,37.0,1.0,19.0,5.0,5120.0,6.0,2.0,48.0,2.0,1.0,138000.0
2014,CA,Gemma2B,Above,Below,Male,37.0,1.0,22.0,1.0,1410.0,6.0,0.0,40.0,1.0,6.0,33004.0
2014,CA,Gemma2B,Below,Below,Female,21.0,1.0,16.0,5.0,6040.0,6.0,2.0,40.0,2.0,1.0,12000.0
2014,CA,Gemma2B,Below,Above,Male,35.0,1.0,19.0,3.0,3930.0,25.0,3.0,23.0,1.0,1.0,59000.0
2014,CA,Gemma2B,Below,Below,Female,23.0,1.0,21.0,5.0,2540.0,6.0,2.0,40.0,2.0,8.0,9900.0
2014,CA,Gemma2B,Below,Below,Female,59.0,1.0,21.0,1.0,5700.0,6.0,1.0,40.0,2.0,1.0,14700.0
2014,CA,Gemma2B,Below,Below,Male,23.0,1.0,16.0,5.0,6440.0,6.0,2.0,45.0,1.0,8.0,0.0
2014,CA,Gemma2B,Below,Below,Male,31.0,1.0,18.0,5.0,6420.0,6.0,0.0,25.0,1.0,3.0,7700.0
2014,CA,Gemma2B,Below,Below,Female,20.0,1.0,19.0,5.0,5620.0,6.0,2.0,35.0,2.0,1.0,20000.0
2014,CA,Gemma2B,Below,Below,Female,53.0,1.0,21.0,5.0,2320.0,6.0,0.0,40.0,2.0,1.0,
2014,CA,Gemma2B,Above,Below,Female,42.0,6.0,22.0,5.0,2830.0,36.0,0.0,35.0,2.0,1.0,31100.0
2014,CA,Gemma2B,Below,Below,Male,30.0,1.0,22.0,5.0,4130.0,6.0,10.0,15.0,1.0,1.0,45000.0
