AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,label,PINCP,Year,State
30.0,1.0,22.0,1.0,4850.0,515.0,0.0,40.0,1.0,1.0,False,1200.0,2014,CA
40.0,4.0,22.0,5.0,2200.0,6.0,2.0,10.0,2.0,1.0,False,,2014,CA
44.0,4.0,22.0,1.0,2310.0,33.0,0.0,50.0,1.0,1.0,True,38400.0,2014,CA
62.0,6.0,21.0,1.0,430.0,36.0,0.0,60.0,1.0,1.0,True,5000.0,2014,CA
57.0,1.0,16.0,4.0,4020.0,212.0,0.0,40.0,2.0,1.0,False,,2014,CA
54.0,1.0,15.0,5.0,5700.0,69.0,11.0,40.0,1.0,7.0,False,,2014,CA
42.0,6.0,21.0,5.0,2700.0,6.0,0.0,40.0,1.0,6.0,True,,2014,CA
37.0,1.0,19.0,5.0,5120.0,6.0,2.0,48.0,2.0,1.0,False,138000.0,2014,CA
37.0,1.0,22.0,1.0,1410.0,6.0,0.0,40.0,1.0,6.0,True,33004.0,2014,CA
21.0,1.0,16.0,5.0,6040.0,6.0,2.0,40.0,2.0,1.0,False,12000.0,2014,CA
35.0,1.0,19.0,3.0,3930.0,25.0,3.0,23.0,1.0,1.0,False,59000.0,2014,CA
23.0,1.0,21.0,5.0,2540.0,6.0,2.0,40.0,2.0,8.0,False,9900.0,2014,CA
59.0,1.0,21.0,1.0,5700.0,6.0,1.0,40.0,2.0,1.0,True,14700.0,2014,CA
23.0,1.0,16.0,5.0,6440.0,6.0,2.0,45.0,1.0,8.0,False,0.0,2014,CA
31.0,1.0,18.0,5.0,6420.0,6.0,0.0,25.0,1.0,3.0,False,7700.0,2014,CA
20.0,1.0,19.0,5.0,5620.0,6.0,2.0,35.0,2.0,1.0,False,20000.0,2014,CA
53.0,1.0,21.0,5.0,2320.0,6.0,0.0,40.0,2.0,1.0,False,,2014,CA
42.0,6.0,22.0,5.0,2830.0,36.0,0.0,35.0,2.0,1.0,False,31100.0,2014,CA
30.0,1.0,22.0,5.0,4130.0,6.0,10.0,15.0,1.0,1.0,False,45000.0,2014,CA
50.0,5.0,19.0,1.0,430.0,6.0,1.0,50.0,1.0,9.0,True,45000.0,2014,CA
46.0,1.0,23.0,1.0,3060.0,212.0,0.0,19.0,2.0,1.0,True,0.0,2014,CA
46.0,1.0,9.0,1.0,8220.0,303.0,10.0,40.0,2.0,8.0,False,183000.0,2014,CA
29.0,1.0,20.0,5.0,3500.0,233.0,0.0,40.0,2.0,6.0,False,0.0,2014,CA
29.0,1.0,16.0,1.0,3630.0,6.0,1.0,30.0,2.0,1.0,False,,2014,CA
38.0,1.0,20.0,1.0,3200.0,6.0,0.0,40.0,2.0,1.0,True,,2014,CA
61.0,6.0,1.0,1.0,4220.0,207.0,12.0,10.0,2.0,6.0,False,0.0,2014,CA
28.0,3.0,22.0,5.0,2000.0,6.0,2.0,40.0,2.0,1.0,False,36000.0,2014,CA
21.0,3.0,16.0,5.0,2540.0,6.0,2.0,20.0,2.0,1.0,False,17000.0,2014,CA
